Tomatoes,1 cup,50,Vegetables R-Z
"Raw, 2 by 2 1/2",1 med.,30,Vegetables R-Z
Tomato juice,1 cup,50,Vegetables R-Z
Tomato catsup,1 T.,15,Vegetables R-Z
Turnip greens,1 cup,45,Vegetables R-Z
"Turnips, steamed",1 cup,40,Vegetables R-Z
"Watercress stems, raw",1 cup,9,Fruits A-F
Apple juice canned,1 cup,125,Fruits A-F
Apple vinegar,1/3 cup,14,Fruits A-F
"Apples, raw",1 med,70,Fruits A-F
Stewed or canned,1 cup,100,Fruits A-F
Apricots,1 cup,220,Fruits A-F
"Dried, uncooked",1/2 cup,220,Fruits A-F
Fresh,3 med.,55,Fruits A-F
"Nectar, or juice",1 cup,140,Fruits A-F
Avocado,1/2 large,185,Fruits A-F
Banana,1 med.,85,Fruits A-F
Blackberries,1 cup,85,Fruits A-F
Blueberries,1 cup,245,Fruits A-F
Cantaloupe,1/2 med.,40,Fruits A-F
Cherries,1 cup,100,Fruits A-F
"Fresh, raw",1 cup,65,Fruits A-F
Cranberry sauce sweetened,1 cup,530,Fruits A-F
Dates,1 cup,505,Fruits A-F
Figs,2,120,Fruits A-F
"Fresh, raw figs",3 med.,90,Fruits A-F
figs Canned with syrup ,3,130,Fruits A-F
"Fruit cocktail, canned",1 cup,195,Fruits A-F
Grapefruit sections,1 cup,170,Fruits G-P
"Grapefruit, fresh, 5"" diameter",2-Jan,50,Fruits G-P
Grapefruit juice,1 cup,100,Fruits G-P
Grapes,1 cup,70,Fruits G-P
"European, as Muscat, Tokay",1 cup,100,Fruits G-P
Grape juice,1 cup,160,Fruits G-P
Lemon juice,1/2 cup,30,Fruits G-P
Lemonade concentratefrozen,6-oz. can,430,Fruits G-P
Limeade concentrate frozen,6-oz. can,405,Fruits G-P
Olives large,10,72,Fruits G-P
OlivesRipe,10,105,Fruits G-P
"Oranges 3"" diameter",1 med.,60,Fruits G-P
Orange juice,8 oz. or,112,Fruits G-P
Frozen ,6-oz. can,330,Fruits G-P
Papaya,1/2 med.,75,Fruits G-P
Peaches,1 cup,200,Fruits G-P
"Fresh, raw",1 med.,35,Fruits G-P
Pears,1 cup,195,Fruits G-P
"Raw, 3 by 2V",1 med.,100,Fruits G-P
Persimmons,1 med.,75,Fruits G-P
Pineapple,1 large slice,95,Fruits G-P
Pineapple Crushed,1 cup,205,Fruits G-P
"Raw, diced",1 cup,75,Fruits G-P
Pineapple juice,1 cup,120,Fruits G-P
Plums,1 cup,185,Fruits G-P
"Raw, 2"" diameter",1,30,Fruits G-P
Prunes,1 cup,300,Fruits G-P
Prune juice,1 cup,170,Fruits G-P
Raisins,1/2 cup,230,Fruits R-Z
Raspberries,1/2 cup,100,Fruits R-Z
"Raw, red",3/4 cup,57,Fruits R-Z
Rhubarb sweetened,1 cup,385,Fruits R-Z
Strawberries,1 cup,242,Fruits R-Z
Raw,1 cup,54,Fruits R-Z
Tangerines,I med.,40,Fruits R-Z
Watermelon,1 wedge,120,Fruits R-Z
Biscuits,1,130,"Breads, cereals, fastfood,grains"
Bran flakes,1 cup,117,"Breads, cereals, fastfood,grains"
"Bread, cracked wheat",1 slice,60,"Breads, cereals, fastfood,grains"
Rye,1 slice,55,"Breads, cereals, fastfood,grains"
"White, 20 slices, or",1-lb. loaf,"1,225","Breads, cereals, fastfood,grains"
Whole-wheat,1-lb. loaf,"1,100","Breads, cereals, fastfood,grains"
Whole-wheat,1 slice,55,"Breads, cereals, fastfood,grains"
Corn bread ground meal,1 serving,100,"Breads, cereals, fastfood,grains"
Cornflakes,1 cup,110,"Breads, cereals, fastfood,grains"
Corn grits cooked,1 cup,120,"Breads, cereals, fastfood,grains"
Corn meal,1 cup,360,"Breads, cereals, fastfood,grains"
Crackers,2 med.,55,"Breads, cereals, fastfood,grains"
